Days,GBP_DollarEx_DC,GBP_DollarEx_TM,GBP_DollarEx_BJ,GBP_DollarEx_LT
-10,1.4114,1.291,1.2266,1.1068
-9,1.4204,1.2845,1.2187,1.0984
-8,1.4203,1.2797,1.2125,1.1096
-7,1.4358,1.2718,1.2167,1.1331
-6,,1.2718,1.2095,1.1172
-5,,,1.2105,1.1172
-4,1.4698,1.2729,,
-3,1.4652,1.2702,1.2106,1.1361
-2,1.4707,1.2665,1.1957,1.1332
-1,1.4877,1.2664,1.1921,1.1212
0,1.3679,1.2713,1.2031,1.123
1,,1.2713,1.2035,1.1311
2,,,1.203,1.1305
3,1.3225,1.2682,,
4,1.3344,1.2658,1.1881,1.1301
5,1.3429,1.2628,1.1874,1.1454
6,1.3311,1.2611,1.1884,1.162
7,1.3267,1.2638,1.1827,1.1574
8,,1.2638,1.1855,1.1613
9,,,1.1855,1.1614
10,1.3287,1.2666,,
